region_id,week,treated_region,post,rollout_week,n_users,activation_rate
10,2,0,0,9,685,0.34015
10,3,0,0,9,848,0.35377
10,4,0,0,9,755,0.36689
10,5,0,0,9,638,0.35266
10,6,0,0,9,678,0.37168
10,7,0,0,9,716,0.35894
10,8,0,0,9,820,0.34878
10,9,0,1,9,886,0.39955
10,10,0,1,9,635,0.3622
10,11,0,1,9,897,0.39353
10,12,0,1,9,728,0.41209
10,13,0,1,9,806,0.3871
10,14,0,1,9,858,0.35781
10,15,0,1,9,680,0.40147
10,16,0,1,9,841,0.37574
11,1,0,0,9,655,0.27328
11,2,0,0,9,775,0.26968
11,3,0,0,9,701,0.24964
11,4,0,0,9,792,0.27399
11,5,0,0,9,760,0.27237
11,6,0,0,9,692,0.27601
11,7,0,0,9,842,0.30879
11,8,0,0,9,746,0.30697
11,9,0,1,9,736,0.29891
11,10,0,1,9,673,0.29718
11,11,0,1,9,849,0.31095
11,12,0,1,9,685,0.30073
11,13,0,1,9,809,0.31026
11,14,0,1,9,895,0.31955
11,15,0,1,9,664,0.26807
11,16,0,1,9,782,0.29795
12,1,0,0,9,777,0.27928
12,2,0,0,9,636,0.29717
12,3,0,0,9,654,0.31193
12,4,0,0,9,715,0.28671
12,5,0,0,9,673,0.29718
12,6,0,0,9,816,0.27819
12,7,0,0,9,706,0.29745
12,8,0,0,9,616,0.28896
12,9,0,1,9,840,0.30476
12,10,0,1,9,749,0.30841
12,11,0,1,9,649,0.30508
12,12,0,1,9,610,0.30656
12,13,0,1,9,734,0.29837
12,14,0,1,9,680,0.33676
12,15,0,1,9,695,0.32518
12,16,0,1,9,688,0.3125
